"peer_group_taxon","peer_group_texture","PRISM_tmea","mean_lp","lcl_lp","ucl_lp","mean_sigma"
"S2","T1",19,-4.47999274317,-4.55406224784445,-4.40690714094521,-0.457010881565963
"S2","T1",22,-4.3582693082841,-4.40925913946616,-4.30812207739103,-0.457010881565963
"S2","T1",25,-4.23654587339819,-4.31848831229902,-4.15605303449995,-0.457010881565963
"S2","T2",19,-3.79033212262936,-3.94818599411864,-3.63359841675254,-0.457010881565963
"S2","T2",22,-3.66860868774346,-3.81201140920443,-3.52764878264907,-0.457010881565963
"S2","T2",25,-3.54688525285755,-3.6989090896312,-3.39799769675076,-0.457010881565963
"S2","T3",19,-3.85893069899798,-3.96621219030076,-3.75063643171227,-0.457010881565963
"S2","T3",22,-3.73720726411207,-3.82856719306596,-3.64929170250056,-0.457010881565963
"S2","T3",25,-3.61548382922616,-3.72549676300741,-3.50848603361737,-0.457010881565963
"S2","T4",19,-3.12556310617694,-3.29749145282222,-2.95454446407751,-0.457010881565963
"S2","T4",22,-3.00383967129103,-3.15187232794255,-2.85380732775332,-0.457010881565963
"S2","T4",25,-2.88211623640513,-3.02987805615839,-2.73168528479552,-0.457010881565963
"S3","T1",19,-4.77837294192335,-4.85907131945504,-4.7000662878985,-0.457010881565963
"S3","T1",22,-4.65664950703745,-4.71599734207684,-4.59789049270101,-0.457010881565963
"S3","T1",25,-4.53492607215154,-4.619558180923,-4.44814179218647,-0.457010881565963
"S3","T2",19,-4.2977740192017,-4.48129159886091,-4.12133247044202,-0.457010881565963
"S3","T2",22,-4.17605058431579,-4.35607406166918,-4.004891107908,-0.457010881565963
"S3","T2",25,-4.05432714942989,-4.24554411901274,-3.87241255948923,-0.457010881565963
"S3","T3",19,-4.13702286435514,-4.36862157416342,-3.89797782281409,-0.457010881565963
"S3","T3",22,-4.01529942946923,-4.23910231660497,-3.78589222852172,-0.457010881565963
"S3","T3",25,-3.89357599458333,-4.12481696609506,-3.65751627938209,-0.457010881565963
"S3","T4",19,-3.24212926644263,-3.44407884506713,-3.04313540288071,-0.457010881565963
"S3","T4",22,-3.12040583155673,-3.30701682558034,-2.9349714130751,-0.457010881565963
"S3","T4",25,-2.99868239667082,-3.18950792521271,-2.81116925618327,-0.457010881565963
"S4","T1",19,-4.91047477304499,-4.98502578782272,-4.83386441495615,-0.457010881565963
"S4","T1",22,-4.78875133815908,-4.84870593845426,-4.7294536506509,-0.457010881565963
"S4","T1",25,-4.66702790327318,-4.75806726573531,-4.57650460980393,-0.457010881565963
"S4","T2",19,-4.73542487527684,-4.81667014998173,-4.65410609239552,-0.457010881565963
"S4","T2",22,-4.61370144039094,-4.69916620670288,-4.52976187671477,-0.457010881565963
"S4","T2",25,-4.49197800550503,-4.61359591595013,-4.37080855775368,-0.457010881565963
"S4","T3",19,-4.50142248873708,-4.59441592490029,-4.41107049002793,-0.457010881565963
"S4","T3",22,-4.37969905385118,-4.46805281258831,-4.28963170620437,-0.457010881565963
"S4","T3",25,-4.25797561896527,-4.37975849412918,-4.13553682620343,-0.457010881565963
"S4","T4",19,-3.61921604590939,-3.87886125650602,-3.35570502181146,-0.457010881565963
"S4","T4",22,-3.49749261102348,-3.74991899564072,-3.24685651787633,-0.457010881565963
"S4","T4",25,-3.37576917613758,-3.63029237222201,-3.11498670211524,-0.457010881565963
