"RSG_Group","Texture_Group","MAT","MAP","mean_lp","lcl_lp","ucl_lp","mean_sigma"
"R1","T1",16,680,-4.93298785179298,-4.99794720742511,-4.86845152792547,-0.868740218811371
"R1","T1",16,1500,-4.60945603072437,-4.67295761243388,-4.54524293147252,-0.868740218811371
"R1","T1",16,2900,-4.05708462889991,-4.13118620960221,-3.98351093716982,-0.868740218811371
"R1","T1",16,3200,-3.93871932850895,-4.01744399961985,-3.86123660749347,-0.868740218811371
"R1","T1",23,680,-5.09052693532465,-5.14905218314652,-5.03080000681157,-0.868740218811371
"R1","T1",23,1500,-4.76699511425604,-4.8242983862536,-4.70729730219012,-0.868740218811371
"R1","T1",23,2900,-4.21462371243158,-4.28520508805794,-4.14448076400414,-0.868740218811371
"R1","T1",23,3200,-4.09625841204063,-4.17132971816853,-4.02167891799495,-0.868740218811371
"R1","T1",28,680,-5.203054852133,-5.26289155638182,-5.14146353169368,-0.868740218811371
"R1","T1",28,1500,-4.87952303106438,-4.93949856411553,-4.81927535213229,-0.868740218811371
"R1","T1",28,2900,-4.32715162923992,-4.39804928766039,-4.25669089895746,-0.868740218811371
"R1","T1",28,3200,-4.20878632884897,-4.28419248437731,-4.13369513937018,-0.868740218811371
"R1","T1",32,680,-5.29307718557967,-5.35681805455086,-5.22824358035233,-0.868740218811371
"R1","T1",32,1500,-4.96954536451106,-5.03272484464438,-4.90704291473502,-0.868740218811371
"R1","T1",32,2900,-4.4171739626866,-4.492216113692,-4.34347014278015,-0.868740218811371
"R1","T1",32,3200,-4.29880866229564,-4.37750571305205,-4.22026688430099,-0.868740218811371
"R1","T2",16,680,-4.81005963151561,-4.8607148333774,-4.75761657133075,-0.868740218811371
"R1","T2",16,1500,-4.486527810447,-4.53403585897428,-4.43850559146816,-0.868740218811371
"R1","T2",16,2900,-3.93415640862254,-3.99289031002079,-3.87568964019682,-0.868740218811371
"R1","T2",16,3200,-3.81579110823159,-3.87846718689013,-3.75298163401945,-0.868740218811371
"R1","T2",23,680,-4.96759871504729,-5.01405442478683,-4.92043315379897,-0.868740218811371
"R1","T2",23,1500,-4.64406689397868,-4.68597571070358,-4.60138239687458,-0.868740218811371
"R1","T2",23,2900,-4.09169549215422,-4.14578628667288,-4.03772915922902,-0.868740218811371
"R1","T2",23,3200,-3.97333019176326,-4.03224806305594,-3.91411239792567,-0.868740218811371
"R1","T2",28,680,-5.08012663185563,-5.12956819198397,-5.03178163011309,-0.868740218811371
"R1","T2",28,1500,-4.75659481078702,-4.80090570967574,-4.71158077587173,-0.868740218811371
"R1","T2",28,2900,-4.20422340896256,-4.26109624544124,-4.14842147549804,-0.868740218811371
"R1","T2",28,3200,-4.0858581085716,-4.14713000054322,-4.02539762274408,-0.868740218811371
"R1","T2",32,680,-5.1701489653023,-5.22493668725107,-5.11704140598622,-0.868740218811371
"R1","T2",32,1500,-4.84661714423369,-4.89683765187764,-4.79731493770292,-0.868740218811371
"R1","T2",32,2900,-4.29424574240923,-4.35556347214048,-4.23448276078301,-0.868740218811371
"R1","T2",32,3200,-4.17588044201827,-4.24217357195744,-4.11165898615991,-0.868740218811371
"R1","T3",16,680,-4.51143993723938,-4.61240113440569,-4.40987063129701,-0.868740218811371
"R1","T3",16,1500,-4.18790811617077,-4.28600749601822,-4.09006694956726,-0.868740218811371
"R1","T3",16,2900,-3.63553671434631,-3.73690255313125,-3.5347828123083,-0.868740218811371
"R1","T3",16,3200,-3.51717141395536,-3.61995582327617,-3.41579499306433,-0.868740218811371
"R1","T3",23,680,-4.66897902077106,-4.76664715729842,-4.56995328427435,-0.868740218811371
"R1","T3",23,1500,-4.34544719970245,-4.43978661573836,-4.25165782963882,-0.868740218811371
"R1","T3",23,2900,-3.79307579787799,-3.89229655703751,-3.69641801064009,-0.868740218811371
"R1","T3",23,3200,-3.67471049748703,-3.77545483343928,-3.57629720139797,-0.868740218811371
"R1","T3",28,680,-4.7815069375794,-4.88037803001921,-4.68310920011756,-0.868740218811371
"R1","T3",28,1500,-4.45797511651079,-4.55281347834158,-4.36393592891039,-0.868740218811371
"R1","T3",28,2900,-3.90560371468633,-4.0045673613325,-3.80791617060426,-0.868740218811371
"R1","T3",28,3200,-3.78723841429537,-3.88795966226412,-3.6875108034915,-0.868740218811371
"R1","T3",32,680,-4.87152927102607,-4.97202431419344,-4.7719535425536,-0.868740218811371
