"RSG_Group","Texture_Group","MAT","MAP","mean_lp","lcl_lp","ucl_lp","mean_sigma"
"R1","T1",16,680,3.96213223541804,3.86156134389995,4.06285082967238,-0.429125242311246
"R1","T1",16,1500,3.84881762773976,3.75022705033821,3.94792896727698,-0.429125242311246
"R1","T1",16,2900,3.65535366341098,3.54191291071792,3.77327947959649,-0.429125242311246
"R1","T1",16,3200,3.61389709962624,3.49365547352953,3.73801400180223,-0.429125242311246
"R1","T1",23,680,3.45033117748517,3.35775302566311,3.54349666175843,-0.429125242311246
"R1","T1",23,1500,3.33701656980689,3.24765021233881,3.42775293505248,-0.429125242311246
"R1","T1",23,2900,3.14355260547811,3.03674284512532,3.25238007344388,-0.429125242311246
"R1","T1",23,3200,3.10209604169337,2.99004638793827,3.21851033804701,-0.429125242311246
"R1","T1",28,680,3.08475899324741,2.99106234721038,3.17870643514397,-0.429125242311246
"R1","T1",28,1500,2.97144438556913,2.87979120844346,3.06319884304902,-0.429125242311246
"R1","T1",28,2900,2.77798042124034,2.6696720169427,2.88668823780197,-0.429125242311246
"R1","T1",28,3200,2.73652385745561,2.62199166640258,2.85166169754536,-0.429125242311246
"R1","T1",32,680,2.7923012458572,2.69152299775347,2.8919663627141,-0.429125242311246
"R1","T1",32,1500,2.67898663817891,2.58151735390235,2.77437832088807,-0.429125242311246
"R1","T1",32,2900,2.48552267385013,2.37087121160488,2.6000674143177,-0.429125242311246
"R1","T1",32,3200,2.44406611006539,2.32433757727382,2.56488156028468,-0.429125242311246
"R1","T2",16,680,4.47781174166676,4.39854902268183,4.55823929407886,-0.429125242311246
"R1","T2",16,1500,4.36449713398848,4.28931360168008,4.43859298950068,-0.429125242311246
"R1","T2",16,2900,4.17103316965969,4.08106164514625,4.26070580755605,-0.429125242311246
"R1","T2",16,3200,4.12957660587496,4.03205414207212,4.22714494016954,-0.429125242311246
"R1","T2",23,680,3.96601068373389,3.89419301650392,4.03812185100742,-0.429125242311246
"R1","T2",23,1500,3.85269607605561,3.78694908290779,3.91887105171154,-0.429125242311246
"R1","T2",23,2900,3.65923211172683,3.57456498277775,3.74400777349983,-0.429125242311246
"R1","T2",23,3200,3.61777554794209,3.5258563420588,3.70971729694858,-0.429125242311246
"R1","T2",28,680,3.60043849949613,3.52445580524891,3.67629062166214,-0.429125242311246
"R1","T2",28,1500,3.48712389181784,3.41794346678187,3.5576921827247,-0.429125242311246
"R1","T2",28,2900,3.29365992748906,3.20786189597322,3.38249716059601,-0.429125242311246
"R1","T2",28,3200,3.25220336370432,3.15891957895527,3.34889569661002,-0.429125242311246
"R1","T2",32,680,3.30798075210592,3.22429844001107,3.39138846816744,-0.429125242311246
"R1","T2",32,1500,3.19466614442763,3.117306336949,3.27383286931378,-0.429125242311246
"R1","T2",32,2900,3.00120218009885,2.90842643221941,3.09710818713353,-0.429125242311246
"R1","T2",32,3200,2.95974561631411,2.86032939491304,3.06204242925314,-0.429125242311246
"R1","T3",16,680,4.93239082792023,4.77743906830243,5.08973179013244,-0.429125242311246
"R1","T3",16,1500,4.81907622024195,4.66981919242258,4.97057836208163,-0.429125242311246
"R1","T3",16,2900,4.62561225591317,4.47086734083711,4.78222411893408,-0.429125242311246
"R1","T3",16,3200,4.58415569212843,4.42598175739738,4.74387239936157,-0.429125242311246
"R1","T3",23,680,4.42058976998737,4.2677403803668,4.57336116402777,-0.429125242311246
"R1","T3",23,1500,4.30727516230908,4.1612516727134,4.45504861531252,-0.429125242311246
"R1","T3",23,2900,4.1138111979803,3.96326568892837,4.2659066850636,-0.429125242311246
"R1","T3",23,3200,4.07235463419556,3.91879396488992,4.22667574495284,-0.429125242311246
"R1","T3",28,680,4.0550175857496,3.90244245987773,4.2092032310256,-0.429125242311246
"R1","T3",28,1500,3.94170297807132,3.79478715249993,4.09056176137179,-0.429125242311246
"R1","T3",28,2900,3.74823901374253,3.59728652130054,3.90148118885203,-0.429125242311246
"R1","T3",28,3200,3.7067824499578,3.55208786919432,3.86357398532972,-0.429125242311246
"R1","T3",32,680,3.76255983835939,3.6073920889381,3.91981662695849,-0.429125242311246
"R1","T3",32,1500,3.64924523068111,3.49810285512714,3.80081455856119,-0.429125242311246
"R1","T3",32,2900,3.45578126635232,3.30182183247055,3.61163004291517,-0.429125242311246
"R1","T3",32,3200,3.41432470256759,3.25570560326982,3.57394548479166,-0.429125242311246
"R1","T4",16,680,5.06866781617525,4.95358547538719,5.18570861757249,-0.429125242311246
"R1","T4",16,1500,4.95535320849696,4.84338028051933,5.0650736006418,-0.429125242311246
"R1","T4",16,2900,4.76188924416818,4.64042997775879,4.88157225496611,-0.429125242311246
"R1","T4",16,3200,4.72043268038344,4.59486174748244,4.84411686472576,-0.429125242311246
"R1","T4",23,680,4.55686675824238,4.44602120717673,4.66956938710643,-0.429125242311246
"R1","T4",23,1500,4.44355215056409,4.33701313576486,4.54864266265677,-0.429125242311246
"R1","T4",23,2900,4.25008818623531,4.13444149672068,4.36711065614068,-0.429125242311246
"R1","T4",23,3200,4.20863162245057,4.08714658506824,4.32954007641506,-0.429125242311246
"R1","T4",28,680,4.19129457400462,4.07690298418324,4.3072238199202,-0.429125242311246
"R1","T4",28,1500,4.07797996632633,3.96821139311708,4.18599061732682,-0.429125242311246
"R1","T4",28,2900,3.88451600199755,3.76606280913601,4.00322672124261,-0.429125242311246
"R1","T4",28,3200,3.84305943821281,3.72008182825861,3.96650227463286,-0.429125242311246
"R1","T4",32,680,3.89883682661441,3.77854761873432,4.0209220409393,-0.429125242311246
"R1","T4",32,1500,3.78552221893612,3.67084894457936,3.90036607987068,-0.429125242311246
"R1","T4",32,2900,3.59205825460734,3.4685581107349,3.7139023639835,-0.429125242311246
"R1","T4",32,3200,3.5506016908226,3.42315180922376,3.67707156531086,-0.429125242311246
"R2","T1",16,680,4.48909345166237,4.43162752582944,4.5481175705116,-0.429125242311246
"R2","T1",16,1500,4.37577884398409,4.32743460157881,4.42610135910828,-0.429125242311246
"R2","T1",16,2900,4.18231487965531,4.11137420301088,4.25416093647658,-0.429125242311246
"R2","T1",16,3200,4.14085831587057,4.06071950367932,4.22123671110482,-0.429125242311246
"R2","T1",23,680,3.9772923937295,3.93382403213967,4.02004348871888,-0.429125242311246
"R2","T1",23,1500,3.86397778605122,3.83416863785363,3.89393451321885,-0.429125242311246
"R2","T1",23,2900,3.67051382172244,3.60973731276446,3.72920518804643,-0.429125242311246
"R2","T1",23,3200,3.6290572579377,3.55864102080672,3.69751681666468,-0.429125242311246
"R2","T1",28,680,3.61172020949174,3.56703445642657,3.65738047849758,-0.429125242311246
"R2","T1",28,1500,3.49840560181346,3.46521572912913,3.53130814319409,-0.429125242311246
"R2","T1",28,2900,3.30494163748467,3.24362562108296,3.36659664085458,-0.429125242311246
"R2","T1",28,3200,3.26348507369994,3.19177417715402,3.33461980258563,-0.429125242311246
"R2","T1",32,680,3.31926246210153,3.2651828979782,3.3729722077998,-0.429125242311246
"R2","T1",32,1500,3.20594785442324,3.1602999813521,3.25111393535481,-0.429125242311246
"R2","T1",32,2900,3.01248389009446,2.94384930060902,3.07984542650155,-0.429125242311246
"R2","T1",32,3200,2.97102732630972,2.89390960331443,3.0469448633493,-0.429125242311246
"R2","T2",16,680,4.77990058479927,4.72832635749629,4.83196609309258,-0.429125242311246
"R2","T2",16,1500,4.66658597712099,4.6233649346025,4.71034910064854,-0.429125242311246
"R2","T2",16,2900,4.47312201279221,4.40311697607452,4.54315632111996,-0.429125242311246
"R2","T2",16,3200,4.43166544900747,4.35263449705277,4.51045690888658,-0.429125242311246
"R2","T2",23,680,4.26809952686641,4.23403849723273,4.30231786056213,-0.429125242311246
"R2","T2",23,1500,4.15478491918812,4.13483557421317,4.17428268897812,-0.429125242311246
"R2","T2",23,2900,3.96132095485934,3.90361496194364,4.01923040722794,-0.429125242311246
"R2","T2",23,3200,3.9198643910746,3.85104863112578,3.98822169804763,-0.429125242311246
"R2","T2",28,680,3.90252734262864,3.86380037254071,3.94012959022664,-0.429125242311246
"R2","T2",28,1500,3.78921273495036,3.76274893283986,3.81465666075103,-0.429125242311246
"R2","T2",28,2900,3.59574877062157,3.53516741637767,3.65516305343375,-0.429125242311246
"R2","T2",28,3200,3.55429220683684,3.48339367312918,3.62395996738614,-0.429125242311246
"R2","T2",32,680,3.61006959523843,3.55876313219462,3.65924808563915,-0.429125242311246
"R2","T2",32,1500,3.49675498756014,3.45469317238478,3.53665928326369,-0.429125242311246
"R2","T2",32,2900,3.30329102323136,3.23435462971959,3.37092822923468,-0.429125242311246
"R2","T2",32,3200,3.26183445944662,3.18429460167883,3.33838508049287,-0.429125242311246
"R2","T3",16,680,4.94822299726994,4.89414537790284,5.00364003425794,-0.429125242311246
"R2","T3",16,1500,4.83490838959166,4.78855066781483,4.88233701622623,-0.429125242311246
"R2","T3",16,2900,4.64144442526287,4.57058008525945,4.71250889580885,-0.429125242311246
"R2","T3",16,3200,4.59998786147814,4.51977495251718,4.67912046447999,-0.429125242311246
"R2","T3",23,680,4.43642193933707,4.39688180450017,4.47707632427586,-0.429125242311246
"R2","T3",23,1500,4.32310733165879,4.29465758015749,4.35133863279196,-0.429125242311246
"R2","T3",23,2900,4.12964336733001,4.06924672972297,4.18887093860816,-0.429125242311246
"R2","T3",23,3200,4.08818680354527,4.01750636895182,4.15770462642781,-0.429125242311246
"R2","T3",28,680,4.07084975509931,4.0273008022656,4.11548893782618,-0.429125242311246
"R2","T3",28,1500,3.95753514742102,3.92386479176663,3.99028145576889,-0.429125242311246
"R2","T3",28,2900,3.76407118309224,3.70036696295197,3.8263349583826,-0.429125242311246
"R2","T3",28,3200,3.7226146193075,3.64919473412973,3.79484151988461,-0.429125242311246
"R2","T3",32,680,3.7783920077091,3.72372475673946,3.83368326229108,-0.429125242311246
"R2","T3",32,1500,3.66507740003081,3.61771260754118,3.7105733601952,-0.429125242311246
"R2","T3",32,2900,3.47161343570203,3.39998752201095,3.54240638668383,-0.429125242311246
"R2","T3",32,3200,3.43015687191729,3.34987692156537,3.51002044263764,-0.429125242311246
