"Texture_Cluster","Order_Cluster","MAT","MAP","mean_lp","lcl_lp","ucl_lp","mean_sigma"
"T1","Or2",10,400,-3.96122969902456,-4.00723312013949,-3.9156196657475,-0.827544773297198
"T1","Or2",10,1100,-3.93482451368522,-3.97865884785239,-3.89199872571384,-0.827544773297198
"T1","Or2",10,1800,-3.90841932834588,-3.95327605330956,-3.86488409431553,-0.827544773297198
"T1","Or2",18,400,-4.10701090835887,-4.14882323296171,-4.06476613496757,-0.827544773297198
"T1","Or2",18,1100,-4.08060572301953,-4.12101381664195,-4.0402859064862,-0.827544773297198
"T1","Or2",18,1800,-4.05420053768019,-4.09662925302351,-4.01269887635804,-0.827544773297198
"T1","Or2",29,400,-4.30746007119355,-4.35164542840083,-4.26343105381441,-0.827544773297198
"T1","Or2",29,1100,-4.28105488585421,-4.32460899394497,-4.23788180661687,-0.827544773297198
"T1","Or2",29,1800,-4.25464970051486,-4.30062232315837,-4.20816327497873,-0.827544773297198
"T1","Or3",10,400,-4.37573897573837,-4.40121230685853,-4.35020069364851,-0.827544773297198
"T1","Or3",10,1100,-4.34933379039903,-4.37095069307114,-4.3276394083743,-0.827544773297198
"T1","Or3",10,1800,-4.32292860505968,-4.34781761507658,-4.29827220120901,-0.827544773297198
"T1","Or3",18,400,-4.52152018507268,-4.53980558867452,-4.50346112057213,-0.827544773297198
"T1","Or3",18,1100,-4.49511499973334,-4.50950389582209,-4.48100650547298,-0.827544773297198
"T1","Or3",18,1800,-4.468709814394,-4.48879207383539,-4.44867740100213,-0.827544773297198
"T1","Or3",29,400,-4.72196934790736,-4.74447192847596,-4.69891583177468,-0.827544773297198
"T1","Or3",29,1100,-4.69556416256801,-4.71716250479162,-4.67400859693482,-0.827544773297198
"T1","Or3",29,1800,-4.66915897722867,-4.69648572779853,-4.64224485735235,-0.827544773297198
"T1","Or4",10,400,-4.39350983468663,-4.41932827371149,-4.36724311429762,-0.827544773297198
"T1","Or4",10,1100,-4.36710464934729,-4.39025807961229,-4.34382516541721,-0.827544773297198
"T1","Or4",10,1800,-4.34069946400795,-4.36755649946312,-4.31391537593915,-0.827544773297198
"T1","Or4",18,400,-4.53929104402094,-4.55814141116292,-4.52053030588722,-0.827544773297198
"T1","Or4",18,1100,-4.5128858586816,-4.5291200720471,-4.49619807908502,-0.827544773297198
"T1","Or4",18,1800,-4.48648067334226,-4.50941074484389,-4.46411716804553,-0.827544773297198
"T1","Or4",29,400,-4.73974020685562,-4.7641303162862,-4.71515773544893,-0.827544773297198
"T1","Or4",29,1100,-4.71333502151628,-4.7372638354822,-4.68962352594081,-0.827544773297198
"T1","Or4",29,1800,-4.68692983617693,-4.71660956732278,-4.65751713637771,-0.827544773297198
"T1","Or5",10,400,-4.89510176844866,-5.07734523760254,-4.7070503805134,-0.827544773297198
"T1","Or5",10,1100,-4.86869658310932,-5.05169049205461,-4.68057917627887,-0.827544773297198
"T1","Or5",10,1800,-4.84229139776998,-5.02648780832993,-4.65308998609125,-0.827544773297198
"T1","Or5",18,400,-5.04088297778297,-5.22193137059273,-4.85295570011618,-0.827544773297198
"T1","Or5",18,1100,-5.01447779244363,-5.19623194143783,-4.82765366041038,-0.827544773297198
"T1","Or5",18,1800,-4.98807260710429,-5.17123662095902,-4.80157559152557,-0.827544773297198
"T1","Or5",29,400,-5.24133214061765,-5.42151167343649,-5.05349203014599,-0.827544773297198
"T1","Or5",29,1100,-5.21492695527831,-5.3959450425061,-5.02728936260643,-0.827544773297198
"T1","Or5",29,1800,-5.18852176993896,-5.37016351032105,-5.00074672370526,-0.827544773297198
"T2","Or2",10,400,-3.31451360865188,-3.38234667345075,-3.24878777039236,-0.827544773297198
"T2","Or2",10,1100,-3.28810842331253,-3.35467762978088,-3.2248226456845,-0.827544773297198
"T2","Or2",10,1800,-3.26170323797319,-3.33041139934193,-3.19765211794158,-0.827544773297198
"T2","Or2",18,400,-3.46029481798619,-3.52607382266312,-3.39597539061765,-0.827544773297198
"T2","Or2",18,1100,-3.43388963264684,-3.49819759827403,-3.37147273389373,-0.827544773297198
"T2","Or2",18,1800,-3.4074844473075,-3.47446944428384,-3.34466517867607,-0.827544773297198
"T2","Or2",29,400,-3.66074398082086,-3.73020504096432,-3.59455588929002,-0.827544773297198
"T2","Or2",29,1100,-3.63433879548152,-3.70296483985445,-3.56939184722362,-0.827544773297198
"T2","Or2",29,1800,-3.60793361014218,-3.67869406416777,-3.54180586747536,-0.827544773297198
